20160302102406;33284ab1;5
20160302102616;0a8b337;3
20160302103319;e3aa6a62;2
20160302104341;c304ab1;5
20160302104442;c304ab1;5
20160302105131;94d4c247;1
20160302111055;308cb337;2
20160302111235;80a6b337;3
20160302111355;10d99a1e;3
20160302111525;73314eb1;5
20160302111633;40d0b637;2
20160302111843;945cc147;2
20160302111945;ooooo2;5
20160302112107;33284ab1;5
20160302112221;9073b637;5
20160302112323;c304ab1;5
20160302112752;e49bbf47;3
20160302120123;807d9c1e;5
20160302122637;7a1798b3;3
20160302122739;0a8b337;3
20160302124504;80a6b337;3
20160302124804;9073b637;5
20160302125147;94d4c247;1
20160302125147;94d4c247;1
20160302125309;94d4c247;1
20160302125357;d3e46a62;5
20160302125842;33284ab1;5
20160302131241;64cdc047;5
20160302131509;c31c6b62;3
20160302132403;33284ab1;5
20160302133001;c304ab1;5
20160302134215;40c8b237;5
20160302134645;fb7caa1;2
20160302135315;d3d44db1;3
20160302140905;24abc147;2
20160302141136;208b437;5
20160302144055;24abc147;5
20160303102424;24abc147;2
20160303105000;24abc147;2
20160303105038;24abc147;5
20160303105213;24abc147;5
20160303105312;24abc147;5
20160303105353;24abc147;5
20160303105517;24abc147;5
20160303105650;24abc147;5
20160303105705;24abc147;5
20160303110002;24abc147;5
20160303110032;24abc147;3
20160303111452;24abc147;1
20160303111518;24abc147;4
20160303111628;24abc147;3
20160303111703;24abc147;4
20160303111719;24abc147;1
20160303111734;24abc147;3
20160303111750;24abc147;1
20160303111921;24abc147;2
20160303111938;24abc147;4
20160303111955;24abc147;1
20160303112011;24abc147;1
20160303112432;24abc147;3
20160303112528;24abc147;4
20160303112551;24abc147;1
20160303112622;24abc147;3
20160303112638;24abc147;3
20160303113151;24abc147;4
20160303113206;24abc147;3
20160303113225;24abc147;1
20160303113359;24abc147;3
20160303113427;24abc147;3
20160303113451;24abc147;1
20160303113508;24abc147;4
20160303113929;24abc147;2
20160303114026;308cb337;2
20160303114045;24abc147;3
20160303114109;308cb337;4
20160303114127;24abc147;5
20160303114144;24abc147;4
20160303114159;308cb337;1
20160303114216;24abc147;2
20160303115248;24abc147;3
20160303115310;f3146b62;5
20160303115336;24abc147;3
20160303173706;24abc147;5
20160303173942;24abc147;5
20160303174352;24abc147;2
